2019-12-17_AH_1	28.62444252752727	31.715206858737464	hii	this	hamana
2019-12-17_AH_2	75.34731115810052	81.24670237118679	kisu (kikubwa) hiki, jiwe hili	this (big) knife, this rock	jorowa hama
2019-12-17_AH_3	103.99298501449888	108.04961319921227	samaki	fish	samaki
2019-12-17_AH_4	114.05553025190481	122.44976519689612	niliona samaki kule	I saw a fish there	ciyanaa samaki nana
2019-12-17_AH_5	129.07661922483473	137.5235376527444	niliona mbwa kule	I saw a dog there	ciyanaa xhaano nana
2019-12-17_AH_6	156.78238028085676	159.43411558774733	mbwa	dog	xhaano
2019-12-17_AH_7	167.08605688768938	171.37098016504896	chawa	louse	ccamazziako
2019-12-17_AH_8	176.23542175451047	184.06769954837264	niliona chawa kule	I saw a louse there	citanaa ccamazziko nana
2019-12-17_AH_9	195.98067262306867	203.37392139261124	niliona damu kule	I saw blood there	ciyanaa athama nana
2019-12-17_AH_10	207.13273002028927	210.04788274177162	damu	blood	athama
2019-12-17_AH_11	219.5309096670756	222.79728560801365	mfupa	bone	midlaha
2019-12-17_AH_12	226.71134785468416	234.06947430228118	niliona mfupa kule	I saw a bone there	ciyanaa midla nana
2019-12-17_AH_13	237.8275627504572	240.88320475972182	yai	egg	usleako
2019-12-17_AH_14	244.02665257385036	251.43746250436573	niliona yai kule	I saw an egg there	citanaa usleko nana
2019-12-17_AH_15	263.2626297741978	266.4763222322175	pembe	horn	rooa
2019-12-17_AH_16	269.11049637813534	276.7789717147015	niliona pembe kule	I saw a horn there	ciyanaa loo nana
2019-12-17_AH_17	282.7240596381237	286.03532865592916	sikio	(round) ear	hajjapitchiako
2019-12-17_AH_18	289.6178054943773	296.589586400573	niliona sikio kule	I saw an ear there	Citanaa hajjapitchiko nana
2019-12-17_AH_19	303.80459662422675	307.1060948871104	jicho	eye	akhwako
2019-12-17_AH_20	310.10905341345665	317.0983954806252	niliona jicho kule	I saw an eye there	citanaa akhwako nana
2019-12-17_AH_21	320.80412463522845	324.26367334686717	pua	nose	intawe
2019-12-17_AH_22	336.3281909351706	344.1604687290328	niliona pua kule	I saw a nose there	ciyanaa intawe nana
2019-12-17_AH_23	347.2724425275273	350.66174659527485	jino	(non-molar) tooth	aha(ko)
2019-12-17_AH_24	358.1779234916269	364.64043072961186	niliona jino kule	I saw a tooth there	ciyanaa aha nana
2019-12-17_AH_25	368.34583569486955	370.9097651968962	ulimi	tongue	ncataha
2019-12-17_AH_26	373.92985509266913	379.830405179525	niliona ulimi kule	I saw a tongue there	ciyanaa ncata nana
2019-12-17_AH_27	393.6289850144989	397.4748792675388	mkono	hand	Ukwapii
2019-12-17_AH_28	401.549068613225	407.62523030980867	niliona mkono kule	I saw a hand there	citchanaa ukwabii nana
2019-12-17_AH_29	413.76255377535585	416.51965604808316	jua	sun	ishoako
2019-12-17_AH_30	419.3470029647016	425.52853162712194	niliona jua kule	I saw the sun there	Citanaa ishoko nana
2019-12-17_AH_31	429.97278482088274	433.27428308376636	mwezi	moon, month	se:taha
2019-12-17_AH_32	433.94118071151684	441.2997336483292	niliona mwezi kule	I saw the moon there	ciyanaa se:ta nana
2019-12-17_AH_33	445.8020775385652	448.5064963283741	maji	water	atipii
2019-12-17_AH_34	452.6509303179514	458.67440853161673	niliona maji kule	I saw water there	citchanaa atibii nana
2019-12-17_AH_35	460.902904166207	464.07520584104185	chumvi	salt	monyoda
2019-12-17_AH_36	464.07520584104185	471.0356940475041	niliona chumvi kule	I saw salt there	ciyanaa monyoda nana
2019-12-17_AH_37	486.1924476457771	488.86092249128575	jiwe	stone	haqqako
2019-12-17_AH_38	492.6070506397882	499.2525793415837	niliona jiwe kule	I saw a rock there	citanaa haqqako nana
2019-12-17_AH_39	502.64757657511853	505.5469771284115	upepo	wind	tsutchipii
2019-12-17_AH_40	506.47067995954916	514.0399114924822	niliona upepo kule	I saw wind there	citchanaa tsutchibii nana
2019-12-17_AH_41	517.2985298134399	520.7110986062538	moto	fire	zzokoa
2019-12-17_AH_42	532.9575127128413	539.2379079451781	niliona moto kule	I saw a fire there	ciyanaa zzoko nana
2019-12-17_AH_43	547.5512334254165	550.6815596864939	mwaka	year	ng'wa:kha 
2019-12-17_AH_44	553.5296434158348	560.0203434805074	niliona mwaka kule	I saw a year there	ciyanaa ng'wa:kha nana
2019-12-17_AH_45	566.6017261523629	569.4626390876917	jaa	to be full	ccoanana
